ranking,num_features,cv_accuracy,cv_f1_macro,cv_mcc,best_k,test_acc,test_f1_macro,test_mcc
Filter_MI,5,0.7763218390804598,0.7719068219171419,0.6675026657436265,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
Filter_MI,10,0.7563218390804598,0.7539234151927651,0.6427804901590067,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
Filter_MI,20,0.8239080459770115,0.8360978863496026,0.7593135359815035,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
Filter_MI,30,0.8234482758620689,0.8339777514778188,0.7386310598702955,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
Filter_MI,40,0.8508045977011495,0.8585305710477336,0.7803942384303304,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
Filter_MI,50,0.810344827586207,0.8158625536630651,0.7154433472850148,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
Filter_MI,60,0.8377011494252873,0.8403538269278388,0.7579198629097242,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
Filter_MI,80,0.796551724137931,0.7985131325519443,0.6958578906236665,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
Filter_MI,100,0.7701149425287356,0.7702511360154379,0.6550378771263461,40,0.7567567567567568,0.7661406693664757,0.6298871546932667
SVC_coef,5,0.7027586206896551,0.6943596127909852,0.5565277461737997,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
SVC_coef,10,0.7016091954022988,0.694397726081296,0.550655916813261,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
SVC_coef,20,0.8245977011494252,0.8212087458030662,0.745765594609862,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
SVC_coef,30,0.831264367816092,0.8260146998970528,0.7569211236698467,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
SVC_coef,40,0.8650574712643678,0.8648359482903093,0.8048593059683297,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
SVC_coef,50,0.8650574712643678,0.8671407932330458,0.8032971153000228,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
SVC_coef,60,0.8652873563218391,0.8646194546194547,0.8076600230311991,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
SVC_coef,80,0.8586206896551725,0.8607824952905958,0.7909025258464095,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
SVC_coef,100,0.8655172413793103,0.8653647802376673,0.8021140808598515,50,0.7297297297297297,0.7388888888888889,0.5924334942429146
RFE,5,0.7960919540229886,0.8052646317154325,0.7007553148288187,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
RFE,10,0.7834482758620689,0.7916933435123858,0.6754019336623867,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
RFE,20,0.8448275862068965,0.8468209825501521,0.7707286245852784,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
RFE,30,0.8650574712643678,0.8652862569529237,0.8034906399077716,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
RFE,40,0.8852873563218392,0.8858613644888156,0.8328737666324997,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
RFE,50,0.8788505747126438,0.8799232098380172,0.8238019531896091,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
RFE,60,0.8586206896551725,0.85929439501272,0.7953432153638761,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
RFE,80,0.8586206896551725,0.857614416235106,0.794927515017128,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
RFE,100,0.8517241379310345,0.8521481461998046,0.7846740916111272,40,0.7837837837837838,0.7876460457105617,0.6711364019917639
PermImp,5,0.5,0.4852610642806721,0.23238105548083304,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
PermImp,10,0.66183908045977,0.6448369397013897,0.5026404705129619,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
PermImp,20,0.7974712643678161,0.7946582389822845,0.6981286456829736,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
PermImp,30,0.7429885057471264,0.7424005480069552,0.614238932991239,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
PermImp,40,0.7432183908045977,0.7368022794928306,0.6210839130639403,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
PermImp,50,0.7360919540229884,0.7350997318822958,0.6052844740517607,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
PermImp,60,0.7227586206896552,0.7145382708306386,0.5891235566490187,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
PermImp,80,0.7149425287356321,0.6940864514495347,0.5776448228362142,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
PermImp,100,0.7354022988505747,0.7185861887777122,0.6053513683193346,20,0.7567567567567568,0.7469979296066253,0.6315209217044055
